Actor,Top 3 Movies
Mary-Louise Parker,"['Goodbye Lover', 'Jamesy Boy', 'The Maker']"
Martin Donovan,"['The Haunting in Connecticut', 'Flirt', 'Wind Chill']"
Toni Cantó,"['The Universe Montesinos', ""You're My Hero"", 'Valparaíso']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Brendan Fraser,"['The Nut Job', 'The Passion of Darkly Noon', 'The Poison Rose']"
Ronit Roy,"['Pankh', 'Agnishika', 'Ugly']"
Madhoo,"['Sar Utha Ke Jiyo', 'Anthaka Mundu Aa Tarvatha', 'Kabhi Socha Bhi Na Tha']"
Sumanth Ashwin,"['Right Right', 'Columbus', 'Anthaka Mundu Aa Tarvatha']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Michael Cera,"['Crystal Fairy & the Magical Cactus', 'Extreme Movie', 'Occupy Cannes!']"
Idris Elba,"['Gumball 3000: LDN 2 NYC', 'The Gospel', 'Zootopia']"
Clifton Powell,"['The Gospel', 'The North Star', 'American Dream']"
Batya Cruz,"['Diamond in the Rough', 'Blood Dust', 'Curse of the Black Lagoon']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Christian Slater,"['Murder in the First', 'Pump Up the Volume', 'Beyond the Stars']"
Molly Parker,"['Trigger', 'Wonderland', 'Darwin']"
Juliette Gosselin,"['The Fall of the American Empire', 'Les fleurs oubliées', 'The Gracefield Incident']"
Geneviève Rioux,"['La lâcheté', 'Cargo', 'La vérité']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Jeff Bridges,"['R.I.P.D.', 'Tucker: The Man and His Dream', ""Cutter's Way""]"
Kevin Spacey,"['See No Evil', 'Hear No Evil', 'Rebel in the Rye']"
Ni Yan,"['Night of Adventure', 'Consider Yourself a Cadre', 'My Own Swordsman']"
Lei Huang,"['Fleeing by Night', 'The Phantom Lover', 'Life on a String']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Michael Cera,"['Crystal Fairy & the Magical Cactus', 'Extreme Movie', 'Occupy Cannes!']"
Lloyd Kaufman,"['Another Yeti a Love Story: Life on the Streets', 'Vault of Terror II: The Undead', 'Stick 10 Even More Swag: The United League of Stereotypes']"
Kaz B.,"['Zombie Driftwood', 'Blood Curse: The Haunting of Alicia Stone', 'Beyond the Macabre']"
James Barnes,"['Vengeance', 'Morris', 'Do You Believe... In Ghosts?']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Nicolas Cage,"['Red Rock West', 'Pig', 'The Frozen Ground']"
Tom Sizemore,"['The Immortal Wars', 'Better Criminal', 'The Saints of Mt. Christopher']"
Connie Jo Sechrist,"['Doll Murder Spree', 'The Pining', 'Cognition']"
Mark Angelosetti,"['H20: Super Clash: 3 Year Anniversary Show', 'H20: Hustlemania 2', 'H20: Subterranean Violence']"
Sean Henderson,"['WH20: Blood', 'Broads', 'and Barb Wire']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Steve Guttenberg,"['Alternate Universe: A Rescue Mission', 'Airborne', 'Police Academy 2: Their First Assignment']"
Ed Lauter,"['Youngblood', 'Purple Heart', 'The Longest Yard']"
Joseph McKelheer,"['Godspeed', 'Nightstalker', 'The Thompsons']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Michael Fassbender,"['Trespass Against Us', 'Shame', 'X-Men: First Class']"
Jonas Karlsson,"['30:e november', 'Bad Faith', ""Bamse and the Witch's Daughter""]"
Samuel Haus,"['Ingen så fin som du', 'Tsatsiki: Friends Forever', 'Tsatsiki']"
Mohamed Said,"['Ingen så fin som du', 'Say That You Love Me', 'Ensam Tillsammans']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Elisabeth Shue,"['Link', 'Radio Inside', 'Leo']"
Taryn Manning,"['The Brawler', ""Heaven's Rain"", 'The Latin from Manhattan']"
Malik Barnhardt,"[""Who's Deal?"", 'Raptors', 'Gangsta Rap: The Glockumentary']"
Kevin Bacon,"['Murder in the First', 'Telling Lies in America', 'My One and Only']"
Colin Firth,"['What a Girl Wants', 'When Did You Last See Your Father?', 'A Christmas Carol']"
Peter O'Toole,"['The Rainbow Thief', 'Eager to Die', 'The Last Emperor']"
Richard Burton,"['The Medusa Touch', 'The Voyage', 'Bluebeard']"
Donald Brittain,"['King of the Hill', 'Overtime', 'On Guard for Thee']"
