Actor,Movies
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Mary-Louise Parker,"Goodbye Lover, Jamesy Boy, The Maker, Behaving Badly, The Spiderwick Chronicles, R.I.P.D., The Best Thief in the World, Murder in Mind, Golden Exits, RED, Pipe Dream, The Assassination of Jesse James by the Coward Robert Ford, Chronically Metropolitan, Fried Green Tomatoes, The Client, Boys on the Side, Mr. Wonderful, Naked in New York"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Julia Roberts,"Ben Is Back, Eat Pray Love, Closer, Erin Brockovich, Conspiracy Theory, Ocean's Twelve, Everyone Says I Love You, Michael Collins, America's Sweethearts, Charlie Wilson's War, Runaway Bride, The Ant Bully, Ready to Wear, Valentine's Day, Ocean's Eleven, Mona Lisa Smile, Mother's Day, Pretty Woman, Mystic Pizza, Stepmom, August: Osage County, Dying Young, Steel Magnolias, Money Monster, Mirror Mirror, Secret in Their Eyes, Full Frontal, The Pelican Brief, The Mexican, Duplicity, Something to Talk About, Confessions of a Dangerous Mind, Hook, Wonder, Notting Hill, Sleeping with the Enemy, I Love Trouble, My Best Friend's Wedding, Charlotte's Web, Mary Reilly, Flatliners, Larry Crowne"
David Brisbin,"No Picnic, Erin Brockovich, The Big Blue, Chain Letters, Dead End Kids"
John Erdman,"Streetscapes, Hotel New York, Die Basis des Make-Up, The Holy Bunch, Lives of Performers, The Big Blue, Committed"
Bernd Broaderup,"Taxi zum Klo, Am Arsch der Welt. To have and to be, The Holy Bunch, Die Basis des Make-Up"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Michael Gross,"Power of the Air, Quackerz, Last Call at Murray's, Rosemont, In the Heat of Passion II: Unfaithful, Model Citizens, Tremors, C Street, Camp Cool Kids, Alan & Naomi, El Sonoma"
John Savage,"Sensory Perception, The Deer Hunter, Where Truth Lies, Christina's House, Confessions of a Pit Fighter, Salvador, Nephilim, Followed, Mata Hari, The Coverup, Buck ai confini del cielo, Colombian Interviews, Hostile Intent, Money Fight, Frontline, Everglades, Downtown: A Street Tale, Cry of the Butterfly, Dead South, Soldier's Revenge, The Mouse, A Sierra Nevada Gunfight, Heavenly Deposit, Boiler Maker, Gates of Darkness, Beauty and the Beast, The Legacy of the Sun, Iowa, 7E, Spinning Dry, The Carrier, A Star for Rose, American Strays, Down's Revenge, The Onion Field, The Amateur, Managua, Ghost Soldier, Tuono di proiettile, The Little Sister, CIA II: Target Alexa, Easy Six, Spreading Darkness, Red Scorpion 2, Hair, Alien Rising, Notti di paura, The Right to Bear Arms, Little Boy Blue, 6 Children & 1 Grandfather, Summer Song, Intoxicating, Dreamkiller, Betrayed, Centurion Force, Voice in the Dark, The Sister in Law, Demon Legacy, Burning Down the House, White Squall, American Romance, Mission Possible, Favola crudele, Hunting, Door to Silence, Discarded, Hollywood Safari, Any Man's Death, The Dangerous, Hotel Colonial, Last Cut, From a Place of Darkness, The Drop, Inside Moves, The Black Dove, The Killing Kind, Torch, Awakened, Dead Man's Run, Teen Star Academy, Impuratus, Assassins' Code, Firestorm, The Grift, Brady's Escape, The Jonas Project, The Islands, Three Seconds, My Forgotten Man, Bullet, Maria's Lovers, Carnosaur 2, Berlin '39, A Corner of Paradise, Message in a Bottle, Ottobre rosa all'Arbat, Last Call at Murray's, Caribe, Qi chuan xu xu, Defending Santa"
Gulshan Grover,"Sher Dil, Dushman Zamana, Beeper, Maanav Hatya, Hate Story IV, Zordaar, Paap, Umar 55 Ki Dil Bachpan Ka, Nephilim, Patton Ki Bazi, Maa Kasam, Dil Churaya Apne, Aag Ke Sholay, Banana Brothers, Mastang Mama, Muqadama, Aaj Ka Gunda Raaj, Ganga Ka Vachan, Jeetenge Hum, In the Shadow of the Cobra, Vapsi Saajan Ki, Deewane, Bad Boys, Jaan Ki Baazi, Sher-E-Hindustan, Khwaab, Maha-Yuddh, Roshni, Bandook Dahej Ke Seenay Par, Shera, Station, Kajraare, 1:1.6 An Ode to Lost Love, Ahankaar, Pehla Pehla Pyar, Sweet Amerika, Sautela, Naseebwaala, Yaar Gaddar, Dushman: A story of the enemy within, Paisa Yeh Paisa, Jism Ka Rishta, Anjaam khuda jaane, Pyaar Ka Toofan, Baap Numbri Beta Dus Numbri, Jajantaram Mamantaram, Mittal v/s Mittal, Payback, Swarg Yahan Narak Yahan, Holiday, Inaam Dus Hazaar, Lohe Ke Haath, Raqt, Kuch Log, Kirkit, Paththar, The Hangman, 2001: Do Hazaar Ek, Mumbai Saga, Ek Jaan Hain Hum, Anari, The Man from Kathmandu Vol. 1, American Daylight, Gambler, Love Love Love, Karz Chukana Hai, Kanoon, Ghar Aaya Mera Pardesi, Mera Jawab, Tyagi, Mera Lahoo, Woodstock Villa, Dil Hi To Hai, Jaan Per Khel Kar, Taqdeer Ka Tamasha, Desires of the Heart, Zahreela, Rahul, Muskaan, Zinda Dil, Badman, Sadma, Baat Bann Gayi, Jodi Kya Banayi Wah Wah Ramji, Boom, Meri Biwi Ka Jawab Nahin, Kaun Kitney Paani Mein, Souten: The Other Woman, Sasural, Mera Muqaddar, Zamane Se Kya Darna, Bin Bulaye Baraati, Kali Ganga, Rangeela, Vajraghat, Tail Sting, Aag aur Angaray, Forbidden, Hawalaat, Mahaguru, Chhevan Dariya (The Sixth River), Banjaran, My Faraway Bride, Nigahen: Nagina Part II, Main Tere Liye, Tathastu, Dobara, First Love Letter, I Love You, Yamraaj, Shiva Ka Insaaf, Desperate Endeavors, Amruta, Jaisi Karni Waisi Bharni, I'm Not a Terrorist, Qatal E Aam, Khanjar, Ei8ht Shani, Jism, Pyara Sangam, Izzat, Mard, Shapath, Phir Kabhi, Qila, Piyo Gayo Pardesh, Tadipaar, Mahayoddha Rama, Kohra, Maati Mere Desh Ki, Yaariyan, I Am Kalam, Ganga Devi, The Fusion Generation, Dhoom Dadakka, Chambal Ke Kasam, Badi Bahen, Cape Karma, Awaragardi, Madhu Malti, Bhabhi, Daag - Shades of Love, Closed Windows, Maha Shaktishaali, Mere Jeevan Saathi, Sadak 2, Naya Khoon, Police Officer, Surkhiyaan (The Headlines), Knock Out, Vaapsi, Sapnon Ka Mandir, Ek Ka Jawab Do, Breaking Waves, Cabaret, Waqt Ke Zanjeer, Naamcheen, Gangster, Devil's Daughter, Khudai, Singhasan, Jawani, Shola Aur Shabnam, Tulsi, Laal Paree, Suno Sasurjee, Halaal Ki Kamai, Anamika: The Untold Story, Sansani: The Sensation, Mera Haque, We're No Monks, Sadak Chhap, Chura Liyaa Hai Tumne, Dilwale, Yugandhar, 16 December, Kaun Sachcha Kaun Jhootha, Rin Shodh, Sugandh, Aurat Pair Ki Juti Nahin Hai, Kasam, Deson Pardeson, Apaatkaal, Dharam Ka Insaaf, 19 Revolutions, Raeeszada, Yeh Zindagi Ka Safar, Hindustan, Raja Ki Ayegi Baraat, 18.11, My Country, Aaya Toofan, Lashkar: The War Against Terror, Gundagardi, Aashiana, Kartoos, Parvaaz: The Journey"
Karma Shakya,"Sherbahadur, Panche Baja, Rose, Love Sasha, Loot 2, Small World, Patachara, Ek Din Ek Raat, Jhyanakuti, The Man from Kathmandu Vol. 1, First Love, Visa Girl, Lukamari, Highway, Goodbye Kathmandu, Loot, Adhyaya, Mirga Trishna"
Saugat Malla,"Loot 2, Fateko Jutta 2, Kabaddi Kabaddi, Dying Candle, Lukamari, Loot, Uma, Jhyanakuti, Soongava: Dance of the Orchids, Panche Baja, Fateko Jutta, Utsav, Mero Paisa Khoi, Badhshala, Kagbeni, Chhadke, Dasdhunga Chapter 2, Fanko, Dasdhunga, Shree 5 Ambare, Lappan Chhappan, Jai Bhole, Fitkiree"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Fred Ward,"The Vivero Letter, The Player, UFOria, Big Business, Chain Reaction, Equinox, Timerider: The Adventure of Lyle Swann, Red Team, Remo Williams: The Adventure Begins, The Chaos Factor, Off Limits, Luck, Trust & Ketchup: Robert Altman in Carver Country, Summer Catch, Thunderheart, Southern Comfort, Swing Shift, The Blue Villa, Uncommon Valor, Tremors, The Prince of Pennsylvania, Dangerous Beauty, Henry & June, Two Small Bodies, Miami Blues, The Wild Stallion, Birdseye"
Peter Coyote,"Shadow of Fear, Outrageous Fortune, Be Home Soon: Letters from My Grandfather, The Reality of Truth, Os Mistérios de Lisboa, Quartzite's Fall: A Wilderness Tale, Connected: An Autoblogography About Love, Death & Technology, The Ghost Army, Soldiers of Conscience, Paolo Soleri: Beyond Form, A Dreamer and the Dreamtribe, The Gundown, Seeds of Doubt, Voices of the Sierra Tarahumara, Cages of Shame, Bearer of the Morning: The Life of Te Ata Thompson Fisher, Adopt a Sailor, Robert Bly: A Thousand Years of Joy, Green Fire, Strangers Kiss, Downwind/Downstream, Crooked Hearts, A Coup in Camelot, The Etruscan Smile, Femme Fatale, The Man Inside, On a marché sur Bangkok, Here, Saving Atlantis, Bitter Moon, As if They Were Angels, A Question of Power, Stealing America: Vote by Vote, Les Diggers De San Francisco, Girl on the Edge, Village Music: Last of the Great Record Stores, Unforgettable, Red Letters, Call of Life, Angel Azul, 21st Century Jet: The Building of the 777, Return of the Living Dead: Rave to the Grave, Kika, Suddenly Naked, The Remarkable Life of John Weld, A Walk to Remember, Olompali: A Hippie Odyssey, Haight Ashbury: The Beat of a Generation, Out, This Is Not a Movie, What If Cannabis Cured Cancer, No Deposit, Road Ends, Imagine a School... Summerhill, All Roads Lead Home, And Now, Love, Rise Above the Mark, Written in Blood, Huxley on Huxley, Kennesaw: One Last Mountain, Strange Culture, The Sacramento: River of Life, A Little Trip to Heaven, Heartbreakers, Dreaming of Tibet, Cross Creek, Fog City Mavericks, A Time for Dancing, The Peyote Road, The Intrepid: Discovering Lincoln's Balloon Corps, Carlos Castaneda: Enigma of a Sorcerer, The Basket, Slayground, Wallace Stegner, More Dogs Than Bones, The Green Bus v. the White House, A Man in Love, Last Call, Troupers, Contrary Warriors: A Film of the Crow Tribe, Free Wheels East, Kerouac, the Movie, The Great Role, Sphere, Oil on Ice, E.T. the Extra-Terrestrial, Last Will, Locked Out, Dirty Gold War, Alaska Far Away: The New Deal Pioneers of the Matanuska Colony, With One Voice, A Grande Arte, It Was 20 Years Ago Today, Di Di Hollywood, Unprecedented: The 2000 Presidential Election, Jagged Edge, Timerider: The Adventure of Lyle Swann, Breach of Contract, Deepwater, Hope & Redemption: The Lena Baker Story, Stage Left: A Story of Theater in San Francisco, For the Love of the Music: The Club 47 Folk Revival, Eva & Leon, Commune, Terminal Justice, Walking in Two Worlds, I am fishead"
The Dalai Lama,"Bringing Tibet Home, Refuge, Looking for God, Happiness Is, The Unwinking Gaze: The Inside Story of the Dalai Lama's Struggle for Tibet, H.H. Dalai Lama: Practical Way of Directing Love, Buddha's Warriors, The Interfaith Dialogue, Karmapa - A Voyage on the Roof of the World, Cave in the Snow, Call It Karma, Die roten Drachen und das Dach der Welt, PeaceJam, Journey from Zanskar, Dancing with Thoreau, Educating the Heart, Dalai Lama Awakening, Souls of Zen, Om..., Buddhistische Stille, Gaia Symphony II, Virbhadra Singh: Icon of the Era, Tibetan Special Audience, Karmapa - Two Ways of Divinity, Women of Tibet: Gyalyum Chemo - The Great Mother, Kalachakra - L'éveil, Earth Sutra, Oscar Arias: Without a Shot Fired, Owned & Operated, The Great 14th: Tenzin Gyatso, the 14th Dalai Lama in His Own Words, Sacred Tibet: The Path to Mount Kailash, Skutecny svet?, Journey of the Heart: A Film on Heart Sutra, Monk with a Camera, Monte Grande: What Is Life?, Mount of Excellence, Ethics for the New Millennium, Dalai Lama Renaissance, In Praise of Dependent Origination, Heaven in Exile, Shadow Over Tibet: Stories in Exile, The Compassion Generation, Creating Peace in a Violent World, Flipside: A Journey Into the Afterlife, The Dance of Infinity, From Business to Being, Walking After Midnight, The Tibetans. A Life in Exile, Bodhisattva's Way of Life and Stages of Meditation, 2012: The True Mayan Prophecy, The Sun Behind the Clouds: Tibet's Struggle for Freedom, Dreaming of Tibet, Circle of Poison, The Blade Wheel of Mind Transformation, Det forbudte landshold, Road to Peace; Ancient Wisdom of the 14th Dalai Lama of Tibet, Wheel of Time, Peace Pilgrim: An American Sage Who Walked Her Talk, Compassion in Exile: The Life of the 14th Dalai Lama, In Search of Kundun with Martin Scorsese, What Remains of Us, Dalai Lama, Colombia, Peace One Day, Dancing in Amdo, Brilliant Moon: Glimpses of Dilgo Khyentse Rinpoche, 10 Questions for the Dalai Lama, Woke Up Alive, Compassion: The Source of Peace, Project Happiness, Dalai Lama's Compassion in Action, The Ring of the Buddha, The Tibetan Book of the Dead: A Way of Life, Metal Politics Taiwan, A Closer Walk, Ahimsa: Non-Violence, Not in God's Name: In Search of Tolerance with the Dalai Lama, A Rising Tide of Silence, Long Life Celebration"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Mary-Louise Parker,"Goodbye Lover, Jamesy Boy, The Maker, Behaving Badly, The Spiderwick Chronicles, R.I.P.D., The Best Thief in the World, Murder in Mind, Golden Exits, RED, Pipe Dream, The Assassination of Jesse James by the Coward Robert Ford, Chronically Metropolitan, Fried Green Tomatoes, The Client, Boys on the Side, Mr. Wonderful, Naked in New York"
Martin Donovan,"The Haunting in Connecticut, Flirt, Wind Chill, The Portrait of a Lady, Pipe Dream, Rememory, Surviving Desire, Spanish Fly, The Visitation, Amateur, Trust, Heaven, Simple Men, Shadows & Lies, Insomnia, Hollow Reed, Quick, The Rook, Ned Rifle, The Opposite of Sex, Collaborator, In a Savage Land, The Book of Life, White Lie, The Quiet, Duress, The Pornographer: A Love Story, Living Out Loud, Day on Fire"
Toni Cantó,"The Universe Montesinos, You're My Hero, Valparaíso, Dile a Laura que la quiero, Oficio de muchachos, A tiro limpio, In the Shade, Pon un hombre en tu vida, Tiempos mejores, Puede ser divertido, Sandra or Luis, Spanish Fly"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Brendan Fraser,"The Nut Job, The Passion of Darkly Noon, The Poison Rose, Dudley Do-Right, Encino Man, Escape from Planet Earth, Gimme Shelter, The Air I Breathe, Sinbad: Beyond the Veil of Mists, Stand Off, The Mummy, Airheads, Journey to the Center of the Earth, The Last Time, George of the Jungle, Journey to the End of the Night, Inkheart, Furry Vengeance, Looney Tunes: Back in Action, Gods and Monsters, Extraordinary Measures, Mrs. Winterbourne, School Ties, The Mummy Returns, Younger and Younger, Pawn Shop Chronicles, The Mummy: Tomb of the Dragon Emperor, Breakout, The Scout, Line of Descent, Twenty Bucks, Bedazzled, The Quiet American, Hair Brained, Still Breathing, Blast from the Past, Monkeybone, With Honors"
Ronit Roy,"Pankh, Agnishika, Ugly, Dosti Ki Saugandh, Jaan Tere Naam, Arjun Patiala, Hulchul, Jurmana, Bank Robbery, Kaabil, Bangshadhar, Rock Dancer, Nishaan: The Target, Lucknow Central, Jaalsaaz, Udaan, Atangko, Gunda Mawali, Gaane Bhuban Bhoriye Debo, Dongri Ka Raja, Aandha Intaquam, Bomb Blast, Line of Descent, Boss, Guddu Rangeela, Tak Misti Jiban, Laqshya, 15th August"
Madhoo,"Sar Utha Ke Jiyo, Anthaka Mundu Aa Tarvatha, Kabhi Socha Bhi Na Tha, Haathkadi, Hafta Vasuli, Jallaad, Zaalim, Old Iss Gold, Mr. Romeo, New Entry, Khote Sikkey, Phool Aur Kaante, Janata Ki Adalat, Ganesh, Pehchaan, Ranna, Vaaname Ellai, Ottayal Pattalam, Yoddha, Roja, Ennodishtam Koodamo, Kalyug Ke Avtaar, Sher-E-Hindustan, Azhakan, Love U... Mr. Kalakaar!, Jaalsaaz, Udaan, Vaayai Moodi Pesavum, Diya Aur Toofan, Prem Yog, Brahma, Dui Joddha, Senthamizh Selvan, Khalli Balli, Neelagiri, Elaan, Allari Priyudu, Zulm-O-Sitam, Hum Hain Bemisaal, Yeshwant, Chehraa, Annayya, Fauj"
Sumanth Ashwin,"Right Right, Columbus, Anthaka Mundu Aa Tarvatha, Fashion Designer S/o Ladies Tailor, Prema Katha Chithram 2, Happy Wedding, Lovers, Chakkiligintha, Tuneega Tuneega, Kerintha"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Michael Cera,"Crystal Fairy & the Magical Cactus, Extreme Movie, Occupy Cannes!, Blazing Samurai, The Lego Batman Movie 2, Magic Magic, Lemon, Person to Person, Juno, Jonty, Superbad, Scott Pilgrim vs. the World, Nick and Norah's Infinite Playlist, Youth in Revolt, Sundance Skippy, Paper Heart, The Lego Batman Movie, Year One, Gloria Bell, Molly's Game"
Idris Elba,"Gumball 3000: LDN 2 NYC, The Gospel, Zootopia, Cats, The Suicide Squad, The Reaping, The Losers, Pacific Rim, 100 Streets, This Christmas, Three Thousand Years of Longing, Cut from a Different Cloth, Ghost Rider: Spirit of Vengeance, RocknRolla, No Good Deed, The Human Contract, The Dark Tower, Legacy, The Take, Daddy's Little Girls, The Jungle Book, The Mountain Between Us, Mandela: Long Walk to Freedom, One Love, Second Coming, Enchanted Kingdom 3D, The Gunman, Mandela, My Dad and Me, Obsessed, Fast & Furious Presents: Hobbs & Shaw, Molly's Game, The Furious Gods: Making Prometheus"
Clifton Powell,"The Gospel, The North Star, American Dream, Crime Partners, Norbit, Worth, Couples' Night, The Saints of Mt. Christopher, Safe House, Soul Custody, Love Won't Let Me Wait, The Choir Director, Dogstar: High School 2, Toolbox Murders 2, God's Precious Jewels, Ray, Mutumbo the Lost Prince, There's a Stranger in My House, The Rimshop, Where Hearts Lie, Jazz in the Diamond District, Hunting Season, King of Newark, Just Another Day, Vigilante: The Hayward Brown Story, Golden Empire, The Preacher's Son, Young Cesar, Trapped: Haitian Nights, One Blood, Banger, Bones, Diamond in the Rough, The Hills, A Weekend with the Family, Let Go and Let God, The House of Malik, Sinners Wanted, 23rd Psalm: Redemption, Interludes, Let God Be the Judge, Something Like a Business"
Batya Cruz,"Diamond in the Rough, Blood Dust, Curse of the Black Lagoon, Table 47, Sever"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Christian Slater,"Murder in the First, Pump Up the Volume, Beyond the Stars, True Romance, Hatfields and McCoys: Bad Blood, Young Guns II, Julian Po, Mindhunters, Twisted, Slipstream, Pursued, Freaky Deaky, Hard Rain, Playback, Lies & Illusions, Bullet to the Head, Alone in the Dark, Soldiers of Fortune, Tales from the Darkside: The Movie, Way of the Wicked, Untamed Heart, Basil, The Deal, He Was a Quiet Man, The Wife, Robin Hood: Prince of Thieves, The Legend of Billie Jean, Bed of Roses, The Contender, Mobsters, Who Is Cletis Tout?, Dolan's Cadillac, 3000 Miles to Graceland, The River Murders, Assassins Run, The Good Shepherd, The Power of Few, Assassin's Bullet, Guns, Girls and Gambling, Gleaming the Cube, King Cobra, Sacrifice, Without Men, Jimmy Hollywood, The Ten Commandments, FernGully: The Last Rainforest, Stranded, Heathers, Churchill: The Hollywood Years, Hard Cash, Broken Arrow, Very Bad Things, Dawn Rider, Kuffs, The Name of the Rose"
Molly Parker,"Trigger, Wonderland, Darwin, Pure, Suspicious River, Undying Love, Ladies Room, The Five Senses, Small Crimes, The Intruder, Under Heaven, Max, The Center of the World, Madeline's Madeline, The Good Shepherd, Men with Brooms, That's What I Am, Kissed, Weirdos, 1922, Oliver Sherman, Rare Birds, Marion Bridge, Who Loves the Sun"
Juliette Gosselin,"The Fall of the American Empire, Les fleurs oubliées, The Gracefield Incident, La vérité, Familia, Tadoussac, Délivrez-moi, Battle of the Brave, Histoire de famille, Darwin, Embrasse-moi comme tu m'aimes"
Geneviève Rioux,"La lâcheté, Cargo, La vérité, Cruising Bar"
